origin,destination,flow
E02000882,E02000879,26
W02000144,W02000200,1
W02000081,E02002930,1
E02001124,E02001153,2
E02001925,E02006199,1
E02003816,W02000061,1
E02005202,E02003795,1
E02001618,E02001616,28
E02004506,E02000033,1
W02000041,W02000384,1
E02003657,E02004857,7
E02005839,E02001636,2
E02000110,E02000890,3
E02000058,E02000047,12
E02001782,E02003922,2
E02000819,E02006928,1
E02000260,E02003378,1
E02000903,E02000572,4
E02001987,E02004910,1
E02004173,E02003090,1
E02001751,E02001724,20
E02004223,E02000525,1
E02005810,E02002680,2
E02001331,E02004674,1
E02003656,E02000575,1
E02003347,E02006854,28
E02000202,E02000928,1
E02005923,E02003772,1
E02001423,E02001192,1
E02002007,E02001878,3
E02001214,E02001078,6
E02000413,E02000534,4
E02003440,E02003395,34
E02001551,E02002460,1
E02004479,E02000742,2
E02001826,E02004339,3
E02001225,E02001068,2
E02000584,E02004609,1
E02004710,E02003567,4
E02006150,W02000398,1
W02000340,W02000375,1
E02006791,E02003420,5
E02000035,E02000565,1
W02000022,E02000720,1
E02002440,E02005584,1
E02001052,E02001106,5
E02000324,E02005078,1
E02006378,E02006802,6
E02002266,E02002467,4
E02004092,E02005919,27
E02006356,E02000459,1
E02003435,E02006324,1
E02001711,E02002544,1
E02004769,E02000001,2
E02004814,E02004683,4
E02000909,E02000412,6
E02000468,E02004494,9
E02005061,E02005018,1
E02001371,E02006330,1
E02005525,E02003730,2
E02000335,E02006342,1
E02003323,E02006856,4
E02000259,E02003100,1
E02000987,E02001031,7
E02005796,E02002572,1
E02006132,E02004118,86
E02003113,E02006641,2
E02006554,E02003492,2
E02001593,E02001634,3
E02003196,E02003539,5
E02005366,E02006898,1
E02000031,E02000979,50
E02006436,E02000784,2
E02001493,E02001419,2
E02004996,E02003343,7
E02002101,E02002001,5
E02004725,E02004775,8
E02004899,E02005094,1
E02005595,E02006251,2
E02005380,E02006141,5
E02001828,E02002146,2
E02001835,E02002828,3
E02004665,OD0000001,675
E02004608,E02004652,6
E02001548,E02002441,2
E02001291,E02003320,1
E02006845,E02006849,1
E02001035,E02002268,1
E02004698,E02004817,1
E02004642,E02006545,1
E02004428,E02006298,3
W02000018,E02001560,1
E02000125,E02004667,1
E02000042,OD0000004,16
W02000264,W02000164,1
E02000816,E02000977,193
E02000757,W02000170,1
E02004899,E02000096,2
E02000465,E02004424,1
E02002496,S92000003,4
E02000849,E02000221,28
E02003861,E02001062,11
E02004439,E02004546,1
E02004270,E02006059,1
E02003441,E02004727,1
E02006795,E02004807,1
E02003814,E02003859,133
E02003432,E02000521,1
E02000544,E02000782,1
E02003396,E02003426,1
E02006653,E02000978,4
E02001521,E02002466,2
E02000960,E02000599,1
E02006524,E02001992,3
E02001124,E02004685,1
E02005150,E02004998,1
W02000343,E02004822,2
E02002256,E02005272,4
E02000869,E02000567,1
E02001096,E02004954,1
E02002467,E02002305,4
E02004933,E02000256,1
E02000397,E02000299,5
E02004838,E02004696,2
E02002185,E02002234,2
E02002792,E02002412,2
E02001513,E02002410,3
E02002057,E02006157,2
E02000845,E02000333,1
E02004152,E02003944,2
E02004123,E02005859,1
E02000041,E02005684,1
E02003806,E02003847,2
E02000675,E02000395,3
E02003143,E02006082,1
W02000378,E02004951,1
E02006830,E02006545,1
E02000686,E02000880,1
E02006494,E02005374,1
E02000877,E02000635,1
E02002291,E02005460,1
E02006820,E02001993,2
E02001450,E02005316,3
E02000788,E02000579,5
E02000701,E02000956,154
E02006809,E02001080,1
E02005824,E02001884,1
E02001741,E02001774,7
E02001266,E02001055,6
E02005884,E02006905,12
E02001579,E02001026,2
E02001026,E02005704,1
E02001985,E02003043,1
E02002017,E02002096,1
E02001134,E02005053,1
E02000387,E02000235,1
E02005064,E02000301,1
E02002779,E02005817,2
E02000970,E02005821,1
E02000467,E02004521,1
E02000777,E02000270,1
E02006780,E02006764,4
E02006539,E02003503,16
E02004663,E02006647,2
E02002479,E02002452,96
E02001958,E02005336,4
E02003623,E02006899,2
E02003517,E02004858,1
E02001988,E02006511,10
E02002795,E02003385,1
E02003484,E02000573,1
E02003757,E02000980,1
E02004608,E02000620,4
W02000292,W02000356,1
E02006287,E02006278,3
E02001508,E02001400,3
E02005391,E02004031,1
W02000083,E02003849,14
E02002498,E02002485,1
E02001062,E02001215,1
E02004345,E02001707,3
E02003352,E02003454,14
E02005536,E02005522,14
E02004443,E02000878,9
E02002329,E02002718,2
E02004467,E02003747,3
E02005630,E02003237,3
E02002043,E02005438,1
E02005274,OD0000002,6
E02000596,W02000111,1
E02002728,E02005447,4
E02006454,E02004733,1
E02003711,E02003669,6
W02000340,E02003043,11
E02005059,E02006628,1
E02001300,E02000384,1
E02006413,E02005992,1
E02000654,E02000430,1
E02003573,E02003019,1
E02000689,E02000261,1
E02000303,E02000580,1
E02001001,E02000750,1
E02005470,E02003481,2
E02001741,E02001757,7
E02003766,E02003622,2
E02003373,E02000589,1
E02003730,E02005517,2
E02001150,E02005252,1
E02004566,E02004459,1
E02006516,E02002827,1
E02006310,E02000524,1
E02006146,E02005393,1
E02001309,E02001038,1
E02004371,E02005098,2
E02004549,E02000296,1
E02000534,E02003517,1
E02003768,E02000372,1
E02004385,E02006548,1
E02005751,E02004352,2
E02004353,E02002533,1
E02004039,E02005900,1
E02000636,E02000403,2
E02001211,E02001272,5
E02005771,E02006902,1
E02003650,E02000974,1
E02002368,E02001262,2
E02003734,E02000595,2
E02000899,E02000414,4
E02005812,E02005803,1
E02004847,E02000024,7
E02006293,E02006395,1
E02004270,E02004261,8
E02004851,E02000038,2
E02004957,E02003462,1
E02003973,E02003976,50
E02005023,E02005040,2
E02004565,E02005076,1
E02004114,E02005347,2
E02000268,E02000573,4
E02004857,E02006281,1
E02001798,E02001823,7
E02003310,E02000193,22
E02001592,E02001547,2
E02003378,E02001259,1
E02003686,E02001842,1
E02004428,E02000520,1
E02001046,E02001161,1
E02001184,E02002591,1
W02000063,E02003816,1
E02000994,E02001155,2
E02006806,E02001995,51
E02000478,E02004935,2
E02000669,E02000189,3
E02006496,E02006896,1
E02001040,E02001021,7
E02001157,E02001030,5
E02006251,E02000476,1
E02001503,E02002620,1
E02006705,E02006741,2
E02004427,E02000487,2
E02000165,E02000067,1
E02005195,E02001430,1
E02005997,E02005930,12
E02000242,E02000786,2
E02006918,E02000871,3
E02004795,E02000001,27
E02001127,E02001178,10
E02003457,E02006410,3
E02002043,E02005657,2
E02004748,E02004685,3
E02003727,E02000965,1
E02001352,E02001351,75
E02002024,E02001890,7
E02000290,E02000249,1
E02005914,E02004234,1
E02003341,E02000069,1
E02003055,E02006414,1
E02005163,E02003271,1
E02003173,E02003199,45
E02000170,E02000180,12
E02005831,E02002846,2
E02001854,E02002147,1
E02003363,E02006006,1
E02001690,E02006886,1
E02003013,E02003054,21
